1960	0.209	0.193	0.274	0.363	0.487	0.594	0.695	0.857	0.903	1.193	1.340
1961	0.209	0.187	0.279	0.373	0.493	0.596	0.741	0.865	0.888	1.199	1.360
1962	0.209	0.177	0.276	0.38	0.522	0.611	0.738	0.885	0.905	1.206	1.369
1963	0.209	0.227	0.297	0.384	0.525	0.621	0.731	0.845	0.867	1.152	1.528
1964	0.209	0.285	0.378	0.491	0.547	0.639	0.76	0.851	0.92	1.208	1.586
1965	0.209	0.289	0.365	0.498	0.625	0.703	0.827	0.869	0.932	1.258	1.669
1966	0.209	0.277	0.369	0.499	0.64	0.788	0.976	0.988	0.984	1.287	1.658
1967	0.209	0.287	0.383	0.469	0.61	0.788	0.847	1.03	1.064	1.369	1.898
1968	0.209	0.276	0.348	0.45	0.602	0.697	0.851	0.991	1.075	1.397	1.898
1969	0.209	0.29	0.332	0.412	0.564	0.67	0.785	0.982	1.05	1.401	1.886
1970	0.209	0.275	0.33	0.397	0.536	0.68	0.795	0.841	1.043	1.166	1.596
1971	0.209	0.259	0.331	0.404	0.494	0.612	0.772	0.909	1.034	1.132	1.572
1972	0.209	0.278	0.372	0.484	0.527	0.629	0.753	0.867	0.935	1.175	1.647
1973	0.209	0.244	0.292	0.38	0.519	0.629	0.816	1.041	1.243	1.334	1.828
1974	0.210	0.252	0.339	0.416	0.568	0.694	0.917	1.108	1.36	1.567	2.178
1975	0.213	0.254	0.348	0.417	0.564	0.692	0.896	1.077	1.318	1.523	2.108
1976	0.207	0.261	0.346	0.414	0.557	0.66	0.829	1.017	1.142	1.347	1.859
1977	0.209	0.264	0.357	0.43	0.614	0.672	0.878	1.018	1.231	1.415	1.976
1978	0.195	0.26	0.353	0.412	0.512	0.614	0.768	0.917	1.184	1.38	1.869
1979	0.209	0.322	0.374	0.453	0.551	0.609	0.702	0.934	1.228	1.688	2.048
1980	0.209	0.328	0.408	0.482	0.541	0.57	0.65	0.739	0.982	1.355	1.830
1981	0.209	0.379	0.406	0.453	0.487	0.536	0.551	0.676	0.792	1.005	1.543
1982	0.256	0.298	0.36	0.427	0.485	0.533	0.596	0.739	0.976	1.275	1.776
1983	0.298	0.382	0.473	0.555	0.658	0.698	0.697	0.756	0.959	1.22	1.768
1984	0.270	0.314	0.382	0.46	0.551	0.563	0.654	0.852	1.128	1.444	2.198
1985	0.212	0.329	0.43	0.473	0.549	0.655	0.82	1.102	1.472	1.898	2.554
1986	0.122	0.194	0.277	0.411	0.548	0.666	0.776	0.989	1.296	1.674	2.284
1987	0.230	0.293	0.398	0.439	0.497	0.655	0.843	1.103	1.395	1.735	2.429
1988	0.170	0.254	0.343	0.446	0.489	0.601	0.774	1.034	1.369	1.745	2.451
1989	0.101	0.186	0.261	0.388	0.488	0.608	0.806	1.068	1.446	1.805	2.455
1990	0.149	0.246	0.345	0.445	0.554	0.704	0.913	1.205	1.624	1.992	2.327
1991	0.200	0.31	0.418	0.483	0.608	0.788	1.014	1.334	1.812	2.177	2.484
1992	0.231	0.284	0.352	0.413	0.548	0.732	0.941	1.184	1.494	1.8	2.488
1993	0.114	0.225	0.275	0.365	0.496	0.589	0.729	0.912	1.227	1.438	2.240
1994	0.119	0.193	0.266	0.374	0.533	0.757	0.897	1.127	1.484	1.701	2.232
1995	0.179	0.237	0.330	0.438	0.709	1.034	1.605	1.676	1.53	2.304	1.855
1996	0.148	0.210	0.296	0.451	0.657	0.918	1.083	1.323	1.576	2.907	2.402
1997	0.164	0.242	0.336	0.486	0.652	0.844	0.990	1.302	1.771	2.349	2.349
1998	0.169	0.167	0.269	0.365	0.504	0.615	0.770	0.980	1.220	1.694	1.727
1999	0.191	0.264	0.308	0.371	0.463	0.607	0.736	0.961	1.155	1.507	1.932
2000	0.166	0.296	0.371	0.420	0.533	0.691	0.845	1.090	1.370	1.593	2.047
2001	0.223	0.321	0.401	0.489	0.520	0.640	0.815	1.028	1.242	1.413	2.010
2002	0.225	0.322	0.395	0.472	0.531	0.650	0.816	1.085	1.237	1.588	2.149
2003	0.242	0.332	0.422	0.498	0.621	0.763	0.889	1.090	1.329	1.600	2.233
2004	0.221	0.324	0.420	0.518	0.652	0.810	0.920	1.073	1.330	1.772	2.444
2005	0.195	0.344	0.461	0.563	0.651	0.771	0.906	1.113	1.386	1.604	2.106
2006	0.166	0.266	0.413	0.538	0.612	0.725	0.996	1.095	1.312	1.658	2.160
2007	0.236	0.304	0.424	0.533	0.626	0.754	0.911	1.239	1.339	1.457	1.760
2008	0.193	0.286	0.389	0.534	0.647	0.824	0.937	1.321	1.396	1.627	1.820
2009	0.184	0.247	0.327	0.435	0.521	0.669	0.786	0.991	1.344	1.509	1.804
2010	0.217	0.319	0.385	0.469	0.561	0.687	0.758	0.958	1.127	1.373	1.813
2011	0.158	0.214	0.329	0.435	0.522	0.698	0.795	0.903	1.201	1.364	1.994
2012	0.145	0.186	0.263	0.389	0.526	0.595	0.781	0.910	1.058	1.272	1.868
2013	0.140	0.208	0.303	0.428	0.537	0.628	0.724	0.893	0.970	1.268	1.974
2014	0.151	0.243	0.306	0.393	0.428	0.560	0.673	0.839	1.034	1.147	1.868
2015	0.108	0.195	0.250	0.345	0.425	0.535	0.663	0.848	1.038	1.075	1.585
2016	0.208	0.277	0.343	0.494	0.591	0.635	0.776	0.917	1.113	1.342	1.769
2017	0.203	0.243	0.323	0.427	0.538	0.646	0.747	0.949	1.169	1.067	1.691
